代號,名稱,年月日,報酬率％
1101,台泥,2022/06/10,-0.361
1101,台泥,2022/06/09,-0.479
1101,台泥,2022/06/08,0.9674
1101,台泥,2022/06/07,-0.4813
1101,台泥,2022/06/06,-0.3597
1101,台泥,2022/06/02,-0.9501
1101,台泥,2022/06/01,-1.1737
1101,台泥,2022/05/31,-0.4673
1101,台泥,2022/05/30,1.4218
1101,台泥,2022/05/27,1.199
1101,台泥,2022/05/26,0.12
1101,台泥,2022/05/25,1.0922
1101,台泥,2022/05/24,0
1101,台泥,2022/05/23,0.1215
1101,台泥,2022/05/20,0.1217
1101,台泥,2022/05/19,-1.2019
1101,台泥,2022/05/18,0.241
1101,台泥,2022/05/17,0.6061
1101,台泥,2022/05/16,-0.8413
1101,台泥,2022/05/13,1.9608
1101,台泥,2022/05/12,-4.3376
1101,台泥,2022/05/11,-2.7366
1101,台泥,2022/05/10,-0.904
1101,台泥,2022/05/09,-1.8847
1101,台泥,2022/05/06,-1.0965
1101,台泥,2022/05/05,0.2198
1101,台泥,2022/05/04,0.3308
1101,台泥,2022/05/03,-1.1983
1101,台泥,2022/04/29,-0.4338
1101,台泥,2022/04/28,0.655
1101,台泥,2022/04/27,-0.8658
1101,台泥,2022/04/26,0.2169
1101,台泥,2022/04/25,-0.9667
1101,台泥,2022/04/22,-0.5342
1101,台泥,2022/04/21,0.4292
1101,台泥,2022/04/20,0.5394
1101,台泥,2022/04/19,-0.3226
1101,台泥,2022/04/18,-1.2739
1101,台泥,2022/04/15,-1.2579
1101,台泥,2022/04/14,-0.625
1101,台泥,2022/04/13,0
1101,台泥,2022/04/12,-2.9323
1101,台泥,2022/04/11,-0.7028
1101,台泥,2022/04/08,0.5045
1101,台泥,2022/04/07,-1.2948
1101,台泥,2022/04/06,0.9045
1101,台泥,2022/04/01,-0.3006
1101,台泥,2022/03/31,0.1003
1101,台泥,2022/03/30,0.1004
1101,台泥,2022/03/29,0.2012
1101,台泥,2022/03/28,0
1101,台泥,2022/03/25,-0.5005
1101,台泥,2022/03/24,0.6042
1101,台泥,2022/03/23,-0.1006
1101,台泥,2022/03/22,-0.1005
1101,台泥,2022/03/21,1.6343
1101,台泥,2022/03/18,1.9792
1101,台泥,2022/03/17,0.3135
1101,台泥,2022/03/16,-0.2086
1101,台泥,2022/03/15,0.8412
1101,台泥,2022/03/14,0.2107
1101,台泥,2022/03/11,-0.3151
1101,台泥,2022/03/10,0.7407
1101,台泥,2022/03/09,0.639
1101,台泥,2022/03/08,-0.3185
1101,台泥,2022/03/07,-1.1542
1101,台泥,2022/03/04,-0.8325
1101,台泥,2022/03/03,0.1042
1101,台泥,2022/03/02,0.4184
