Date,50_Portfolio_Daily_Return,TW50TR_Daily_Return,
2019/4/18,2019/4/18,0.001960892,0.000972
2019/4/19,2019/4/19,-0.001145101,-0.001392
2019/4/22,2019/4/22,0.001858927,0.000667
2019/4/23,2019/4/23,0.005064976,0.00561
2019/4/24,2019/4/24,0.001869127,0.000667
2019/4/25,2019/4/25,0.000907764,0.000118
2019/4/26,2019/4/26,-0.007219386,-0.009331
2019/4/29,2019/4/29,0.004492536,0.001761
2019/4/30,2019/4/30,0.001310626,0.00026
2019/5/2,2019/5/2,0.001962932,0.002471
2019/5/3,2019/5/3,0.009622589,0.011869
2019/5/6,2019/5/6,-0.015387231,-0.017692
2019/5/7,2019/5/7,0.008431026,0.008595
2019/5/8,2019/5/8,-0.002784786,-0.006405
2019/5/9,2019/5/9,-0.01367584,-0.016358
2019/5/10,2019/5/10,0.00018539,-0.001085
2019/5/13,2019/5/13,-0.012325586,-0.016166
2019/5/14,2019/5/14,-0.006081895,-0.00676
2019/5/15,2019/5/15,0.000803452,0.000964
2019/5/16,2019/5/16,-0.005383542,-0.008142
2019/5/17,2019/5/17,-0.006634306,-0.01102
2019/5/20,2019/5/20,0.002369905,0.000722
2019/5/21,2019/5/21,0.003555378,0.001242
2019/5/22,2019/5/22,-4.91E-05,0.000724
2019/5/23,2019/5/23,-0.014715054,-0.017876
2019/5/24,2019/5/24,0.00428978,0.00448
2019/5/27,2019/5/27,-0.000885515,-0.002215
2019/5/28,2019/5/28,-0.001959408,-0.0024
2019/5/29,2019/5/29,0.001039817,-0.001797
2019/5/30,2019/5/30,0.007006096,0.009087
2019/5/31,2019/5/31,0.012413036,0.013987
2019/6/3,2019/6/3,0.003782982,0.00394
2019/6/4,2019/6/4,-0.008096398,-0.009374
2019/6/5,2019/6/5,0.002655981,0.002784
2019/6/6,2019/6/6,-0.001558846,-0.004901
2019/6/10,2019/6/10,0.016965367,0.018604
2019/6/11,2019/6/11,0.002039183,0.00535
2019/6/12,2019/6/12,-0.001379898,0.001736
2019/6/13,2019/6/13,-0.008255145,-0.00829
2019/6/14,2019/6/14,-0.004576198,-0.005789
2019/6/17,2019/6/17,-0.00021816,-0.001767
2019/6/18,2019/6/18,0.005292789,0.005557
2019/6/19,2019/6/19,0.021144065,0.022819
2019/6/20,2019/6/20,0.000776831,0.001242
2019/6/21,2019/6/21,0.000926115,0.003522
2019/6/24,2019/6/24,0.004451371,0.004102
2019/6/25,2019/6/25,-0.006150862,-0.00751
2019/6/26,2019/6/26,-0.008173744,-0.007503
2019/6/27,2019/6/27,0.014086177,0.015242
2019/6/28,2019/6/28,-0.004817692,-0.004594
2019/7/1,2019/7/1,0.014025192,0.01997
2019/7/2,2019/7/2,-0.000835658,-0.0012
2019/7/3,2019/7/3,-0.011220304,-0.013225
2019/7/4,2019/7/4,0.003897295,0.004751
2019/7/5,2019/7/5,-0.000571074,0.000742
2019/7/8,2019/7/8,-0.000768216,-0.000665
2019/7/9,2019/7/9,-0.003451144,-0.004456
2019/7/10,2019/7/10,0.009581115,0.011966
2019/7/11,2019/7/11,0.0049829,0.006882
