年月日,1101.TW,1102.TW,1216.TW,1301.TW,1303.TW,1326.TW,1402.TW,1476.TW,1590.TW,1605.TW,1722.TW,1802.TW,2002.TW,2105.TW,2201.TW,2204.TW,2207.TW,2227.TW,2301.TW,2303.TW,2308.TW,2311.TW,2317.TW,2323.TW,2324.TW,2325.TW,2327.TW,2330.TW,2331.TW,2337.TW,2344.TW,2345.TW,2347.TW,2349.TW,2352.TW,2353.TW,2354.TW,2356.TW,2357.TW,2363.TW,2371.TW,2376.TW,2377.TW,2379.TW,2382.TW,2388.TW,2395.TW,2401.TW,2408.TW,2409.TW,2412.TW,2448.TW,2454.TW,2474.TW,2475.TW,2492.TW,2498.TW,2603.TW,2609.TW,2610.TW,2615.TW,2618.TW,2633.TW,2801.TW,2823.TW,2880.TW,2881.TW,2882.TW,2883.TW,2884.TW,2885.TW,2886.TW,2887.TW,2888.TW,2890.TW,2891.TW,2892.TW,2912.TW,3008.TW,3009.TW,3012.TW,3034.TW,3037.TW,3045.TW,3231.TW,3474.TW,3481.TW,3673.TW,3697.TW,3711.TW,4904.TW,4938.TW,5854.TW,5871.TW,5876.TW,5880.TW,6004.TW,6116.TW,6239.TW,6415.TW,6505.TW,6669.TW,6770.TW,8046.TW,8078.TW,8454.TW,9904.TW,9910.TW
2004-04-19,0.0,0.0,0.009181,0.038804,0.035643,0.02709,0.008735,0.0,0.0,0.008819,0.0,0.0,0.035265,0.0,0.006731,0.006216,0.0,0.0,0.012456,0.056697,0.006863,0.012928,0.043914,0.015769,0.019921,0.009479999999999999,0.0,0.134863,0.0,0.0,0.010062,0.0,0.0,0.0,0.011384,0.015516,0.0,0.0,0.019789,0.0,0.0,0.0,0.0,0.0,0.016184,0.005391,0.0,0.0066159999999999995,0.007518,0.037033,0.015996999999999997,0.0,0.024355,0.0,0.018589,0.0,0.0,0.00484,0.005324,0.002437,0.0,0.0,0.0,0.01149,0.0,0.015371999999999999,0.030975000000000003,0.037459,0.031481,0.0,0.0,0.028641,0.018479000000000002,0.005758,0.010530999999999999,0.031024,0.016465,0.003097,0.0,0.028652,0.012742,0.0,0.0,0.010847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006899,0.0,0.0,0.0,0.0,0.0,0.009677,0.0
2004-07-19,0.0,0.0,0.008685,0.04316,0.041767000000000006,0.031042999999999998,0.00862,0.0,0.0,0.007784,0.0,0.0,0.041120000000000004,0.0,0.006438,0.005177,0.0,0.0,0.012996,0.051273,0.008622,0.010827,0.04242,0.008369,0.017984,0.007403999999999999,0.0,0.131768,0.0,0.0,0.008531,0.0,0.0,0.0,0.010771,0.015571999999999999,0.0,0.0,0.021486,0.0,0.010171,0.0,0.0,0.0,0.015470999999999999,0.0,0.0,0.0058260000000000004,0.007803,0.028934,0.018085,0.0,0.0194,0.0,0.014995000000000001,0.0,0.0,0.005011,0.005189,0.00269,0.0,0.0,0.0,0.011418,0.0,0.016619,0.032841999999999996,0.042971,0.032325,0.0,0.0,0.03241,0.019031,0.0058779999999999995,0.011536999999999999,0.034122,0.017516,0.003401,0.0,0.022104,0.010816,0.0,0.0,0.013006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008245,0.0,0.0,0.0,0.0,0.0,0.010366,0.0
2004-12-10,0.0,0.0,0.008964999999999999,0.043060999999999995,0.040716999999999996,0.034733,0.011789,0.0,0.0,0.008178,0.0,0.0,0.042496,0.0,0.005999,0.003878,0.0,0.0,0.013143,0.042647000000000004,0.010145,0.011335,0.052271,0.008159,0.017626,0.008268,0.0,0.13530699999999998,0.0,0.0,0.006475,0.0,0.0,0.0,0.010006,0.01786,0.0,0.0,0.024041,0.0,0.0076029999999999995,0.0,0.0,0.0,0.01363,0.0,0.0,0.0,0.006646999999999999,0.024542,0.019568000000000002,0.0,0.019691,0.0,0.011008,0.0,0.0,0.005926,0.0053890000000000006,0.0026279999999999997,0.0,0.0,0.0,0.011845000000000001,0.0,0.018525,0.031987999999999996,0.042459,0.0278,0.0,0.0,0.029502,0.020621,0.007047,0.011431,0.03535,0.018423000000000002,0.0029170000000000003,0.0,0.018577999999999997,0.00818,0.0,0.0,0.012466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011468,0.0,0.0,0.0,0.008535000000000001,0.0,0.0,0.0,0.0,0.0,0.009132,0.0
2005-01-24,0.0,0.0,0.008464000000000001,0.045629,0.039821,0.034835,0.011043,0.0,0.0,0.007269,0.0,0.0,0.042266000000000005,0.0,0.006373,0.00435,0.0,0.0,0.013375,0.041933,0.009877,0.010967,0.05366,0.007538,0.015653999999999998,0.008123,0.0,0.134874,0.0,0.0,0.0061270000000000005,0.0,0.0,0.0,0.009725000000000001,0.016872,0.0,0.0,0.027277999999999997,0.0,0.007963,0.0,0.0,0.0,0.012345,0.0,0.0,0.0,0.006979999999999999,0.027548,0.019793,0.0,0.016911,0.0,0.011094,0.0,0.0,0.0057269999999999995,0.0051719999999999995,0.0026829999999999996,0.0,0.0,0.0,0.012157,0.0,0.018056000000000003,0.031348,0.04165,0.024467,0.009233,0.0,0.028730000000000002,0.020308000000000003,0.00791,0.011818,0.033879,0.017957,0.0,0.0,0.019911,0.008619,0.0,0.0,0.012485999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011358,0.0,0.0,0.0,0.008772,0.0,0.0,0.0,0.0,0.0,0.009068,0.0
2005-04-18,0.0,0.0,0.007699,0.043867,0.037936,0.036596000000000004,0.008926,0.0,0.0,0.006725999999999999,0.0,0.0,0.040033000000000006,0.0,0.006287,0.003882,0.0,0.0,0.013557999999999999,0.03933,0.009682,0.011442,0.055674,0.0,0.015737,0.009274,0.0,0.1437,0.0,0.0,0.005211,0.0,0.0,0.0,0.00884,0.017047,0.0,0.0,0.025618,0.0,0.006844,0.0,0.0,0.0,0.012920000000000001,0.0,0.0,0.0,0.006327,0.029266,0.033898000000000005,0.0,0.023355,0.0,0.011079,0.0,0.0,0.006128,0.00584,0.002535,0.0,0.0,0.0,0.010052,0.0,0.016064000000000002,0.029532,0.039203999999999996,0.022075,0.008491,0.0,0.026699,0.018979,0.0076170000000000005,0.011504,0.032124,0.01591,0.0,0.0,0.024027,0.0078000000000000005,0.0,0.0,0.011434999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004071,0.0,0.0,0.0,0.011458999999999999,0.0,0.0,0.0,0.009418,0.0,0.0,0.0,0.0,0.0,0.008279,0.0
2005-07-19,0.0,0.0,0.007121,0.040039,0.032595,0.029634999999999998,0.010230999999999999,0.0,0.0,0.0,0.0,0.0,0.035226,0.0,0.005412,0.0,0.0,0.0,0.013295,0.046826,0.010227,0.011319999999999998,0.063528,0.0,0.015232,0.010666,0.0,0.150138,0.0,0.0,0.005790999999999999,0.0,0.0,0.0,0.009527,0.018026,0.010433,0.0,0.026265,0.0,0.0,0.0,0.0,0.0,0.013707,0.0,0.0,0.0,0.006824,0.029505,0.030912000000000002,0.0,0.025255,0.0,0.011675,0.0,0.014704,0.004867,0.004551,0.002308,0.0,0.0,0.0,0.009313,0.0,0.014755,0.027558,0.038036,0.021648,0.008048,0.0,0.025606,0.017523,0.007448,0.01004,0.028883000000000002,0.015359000000000001,0.0,0.0,0.023407,0.007405,0.0,0.0,0.009941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034000000000000002,0.0,0.0,0.0,0.01061,0.00943,0.0,0.0,0.008058,0.0,0.0,0.0,0.0,0.0,0.0076890000000000005,0.0
2005-08-31,0.0,0.0,0.0,0.041264,0.033616,0.03153,0.010225,0.0,0.0,0.0,0.0,0.0,0.033683,0.0,0.005264,0.0,0.0,0.0,0.013326,0.043811,0.011056999999999999,0.010219,0.063607,0.0,0.017467,0.010321,0.0,0.14311,0.0,0.0,0.004852,0.0,0.0,0.0,0.008498,0.020836,0.010739,0.0,0.025795,0.0,0.0,0.0,0.0,0.0,0.012768,0.0,0.0,0.0,0.005821,0.03249,0.034442,0.0,0.027891,0.0,0.009487,0.0,0.018816,0.004682,0.003977,0.002497,0.0,0.0,0.0,0.009396,0.0,0.014943999999999999,0.027313,0.039108000000000004,0.020418,0.007851,0.0,0.027741,0.016431,0.007704,0.00984,0.02955,0.015838,0.0,0.0,0.023777,0.0059440000000000005,0.0,0.0,0.010676000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.004796,0.0,0.003598,0.0,0.0,0.0,0.009273,0.007403,0.0,0.0,0.009088,0.0,0.0,0.0,0.0,0.0,0.007223,0.0
2005-10-24,0.0,0.0,0.0,0.041995,0.032195,0.031673,0.008589,0.0,0.0,0.0,0.0,0.0,0.032062,0.0,0.005575,0.0,0.0,0.0,0.014745,0.043961,0.011488,0.010658,0.067428,0.0,0.016976,0.011442,0.0,0.142256,0.0,0.0,0.0,0.0,0.0,0.0,0.008109,0.026185999999999997,0.011437,0.0,0.029341,0.0,0.0,0.0,0.0,0.0,0.012222,0.0,0.0,0.0,0.005079,0.026383999999999998,0.033873,0.0,0.028997000000000002,0.007127,0.007462,0.0,0.0204,0.004137,0.0034360000000000003,0.002406,0.0,0.0,0.0,0.008884999999999999,0.0,0.014206000000000002,0.027349000000000002,0.039471,0.018651,0.007221,0.0,0.028241000000000002,0.014434,0.012292,0.009008,0.026425999999999998,0.015602,0.0,0.0,0.018955,0.0052829999999999995,0.0,0.0,0.009550999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.011301,0.0,0.003231,0.0,0.0,0.0,0.009325,0.006228,0.0,0.0,0.009475,0.0,0.0,0.0,0.0,0.0,0.0072250000000000005,0.0
2006-01-23,0.0,0.0,0.0,0.037853,0.033821,0.02828,0.008799,0.0,0.0,0.0,0.0,0.0,0.02759,0.0,0.0048449999999999995,0.0,0.0,0.0,0.014977,0.036081,0.012169000000000001,0.013063,0.08614100000000001,0.0,0.014367000000000001,0.013441000000000002,0.0,0.155224,0.0,0.0,0.0,0.0,0.0,0.0,0.008652,0.023094,0.011893,0.0,0.030251,0.0,0.0,0.0,0.0,0.0,0.010215,0.0,0.0,0.0,0.005052999999999999,0.027696000000000002,0.028988999999999997,0.0,0.028201999999999998,0.006753,0.007844,0.0,0.031313,0.0037519999999999997,0.00302,0.002089,0.0,0.0,0.0,0.008404,0.0,0.012861000000000001,0.022274,0.033615,0.016603,0.0063690000000000005,0.0,0.023799,0.012383,0.010516000000000001,0.015825,0.024211999999999997,0.013634,0.0,0.0,0.024484,0.006222999999999999,0.009214,0.0,0.008777,0.0,0.0,0.0,0.0,0.0,0.0,0.009122,0.0,0.0026939999999999998,0.0,0.0,0.0,0.009183,0.0,0.0,0.0,0.007702,0.0,0.0,0.0,0.0,0.0,0.006638,0.0
2006-04-24,0.0,0.0,0.0,0.033984,0.032073,0.025097,0.009177,0.0,0.0,0.0,0.0,0.0,0.029976,0.0,0.0,0.0,0.0,0.0,0.016093,0.039566,0.015106999999999999,0.013720000000000001,0.083215,0.0,0.016131,0.013384,0.0,0.153931,0.0,0.0,0.0,0.0,0.0,0.0,0.006424,0.016576,0.015953,0.0,0.033491,0.0,0.0,0.0,0.0,0.0,0.011152,0.0,0.0,0.0,0.004654,0.028381,0.027911000000000002,0.0,0.030147,0.008597,0.007007,0.0,0.042450999999999996,0.0035809999999999995,0.0028100000000000004,0.001907,0.0,0.0,0.0,0.00812,0.0,0.012787999999999999,0.020589,0.032061,0.015652,0.006412,0.0,0.023824,0.012439,0.010154000000000002,0.014671,0.021821,0.012584999999999999,0.0,0.0,0.021457999999999998,0.006609,0.008769,0.0,0.008701,0.0,0.0,0.0,0.0,0.0,0.0,0.008975,0.0,0.002543,0.0,0.0,0.0,0.008518,0.0,0.0,0.0,0.007049,0.0,0.0,0.0,0.0066549999999999995,0.0,0.007116,0.0
