code,年月,當季季底P/E,當季季底P/B,ROE(B)－常續利益,季底普通股市值,季別
1538,Jun-05,13.07,2.09,10.32,3879780,2
1539,Jun-05, ,0.58,-5.17,430920,2
1540,Jun-05,9.24,1.19,7.07,935249,2
1541,Jun-05, ,1.08,-6.1,771530,2
1558,Jun-05,7.97,2.34,10.55,1602510,2
1560,Jun-05,20.58,3.35,5.59,5739240,2
1568,Jun-05,18.26,1.07,1.15,759348,2
1582,Jun-05, , ,5.36, ,2
1583,Jun-05, , ,11.92, ,2
1603,Jun-05, ,0.47,1.46,1540350,2
1604,Jun-05, ,0.67,-10.22,8357800,2
1605,Jun-05,12.09,0.79,2.3,43140319,2
1608,Jun-05,10.78,0.62,3.02,4555966,2
1609,Jun-05,9.8,0.77,2.61,4898886,2
1611,Jun-05,18.08,0.93,3.32,4411348,2
1612,Jun-05,10.73,0.73,4.78,3169983,2
1614,Jun-05,9.25,1.09,6.95,5588061,2
1615,Jun-05,7.35,0.84,2.67,882000,2
1616,Jun-05,11.89,0.68,3.16,1281110,2
1617,Jun-05,161.61,0.75,-1.82,1134810,2
1618,Jun-05,12.82,0.67,0.79,2044107,2
1701,Jun-05, ,0.9,-2.24,3495668,2
1702,Jun-05,28.51,0.62,0.73,1541252,2
1707,Jun-05,11.09,0.74,3.04,1140733,2
1708,Jun-05,11.04,0.62,4.6,1732020,2
1709,Jun-05,16.61,0.79,3.1,2418746,2
1710,Jun-05,8.78,1.85,10.16,20226333,2
1711,Jun-05,18.86,0.76,0.71,3757950,2
1712,Jun-05, ,0.58,-1.9,2507196,2
1713,Jun-05,33.92,0.69,1.22,1450639,2
1714,Jun-05, ,0.76,-0.96,4728258,2
1717,Jun-05,11.07,1.19,4.5,12081886,2
1718,Jun-05,8.96,1.03,3.73,18513000,2
1720,Jun-05,12.64,1.29,6.14,2508331,2
1721,Jun-05, ,0.9,-4.4,583279,2
1722,Jun-05,25.93,0.87,2.31,41013000,2
1723,Jun-05,9.31,3.25,16.55,9831398,2
1725,Jun-05,9.96,1.35,5.37,1400736,2
1726,Jun-05,9.26,1.56,7.7,6711916,2
1727,Jun-05,11.56,0.87,3.13,655500,2
1730,Jun-05,11.34,0.88,4.62,540158,2
1731,Jun-05,25.75,0.85,1.73,1172684,2
1732,Jun-05, ,0.82,-0.95,356097,2
