證券代碼	年	序號	事件日
U4DST 下市	2023    	000168	19990324
U4DST 下市	2023    	000169	20010919
U4DST 下市	2023    	000170	19991122
U4DST 下市	2023    	000171	20010919
U4DST 下市	2023    	000172	20020102
U4DST 下市	2023    	000173	20020219
U4DST 下市	2023    	000174	19731206
U4DST 下市	2023    	000175	19800220
U4DST 下市	2023    	000176	19920220
U4DST 下市	2023    	000177	19930528
U4DST 下市	2023    	000178	19930827
U4DST 下市	2023    	000179	19940718
U4DST 下市	2023    	000180	19941001
U4DST 下市	2023    	000181	19941012
U4DST 下市	2023    	000182	19800317
U4DST 下市	2023    	000183	19941101
U4DST 下市	2023    	000184	19950417
U4DST 下市	2023    	000185	19951230
U4DST 下市	2023    	000186	19980813
U4DST 下市	2023    	000187	19991215
U4DST 下市	2023    	000188	19760126
U4DST 下市	2023    	000189	19881222
U4DST 下市	2023    	000190	20060223
U4DST 下市	2023    	000191	19721031
U4DST 下市	2023    	000192	19830408
U4DST 下市	2023    	000193	19830418
U4DST 下市	2023    	000194	19840312
U4DST 下市	2023    	000195	19840314
U4DST 下市	2023    	000196	20061219
U4DST 下市	2023    	000197	19941128
U4DST 下市	2023    	000198	19950208
U4DST 下市	2023    	000199	19960925
U4DST 下市	2023    	000200	19961219
U4DST 下市	2023    	000201	19950518
U4DST 下市	2023    	000202	19970523
U4DST 下市	2023    	000203	19950615
U4DST 下市	2023    	000204	19970523
U4DST 下市	2023    	000205	19951102
U4DST 下市	2023    	000206	19970903
U4DST 下市	2023    	000207	19971013
U4DST 下市	2023    	000208	19980330
U4DST 下市	2023    	000209	19950817
U4DST 下市	2023    	000210	19980629
U4DST 下市	2023    	000211	19990108
U4DST 下市	2023    	000212	19960423
U4DST 下市	2023    	000213	19981001
U4DST 下市	2023    	000214	19950926
U4DST 下市	2023    	000215	19990108
U4DST 下市	2023    	000216	19960130
U4DST 下市	2023    	000217	19990204
U4DST 下市	2023    	000218	19990520
U4DST 下市	2023    	000219	19960327
U4DST 下市	2023    	000220	20020916
U4DST 下市	2023    	000221	19950831
U4DST 下市	2023    	000222	20020916
U4DST 下市	2023    	000223	19780814
U4DST 下市	2023    	000224	20060119
U4DST 下市	2023    	000225	20160127
U4DST 下市	2023    	000226	20160926
U4DST 下市	2023    	000227	20020108
U4DST 下市	2023    	000228	20020426
U4DST 下市	2023    	000229	20020826
U4DST 下市	2023    	000230	20020828
U4DST 下市	2023    	000231	20000810
U4DST 下市	2023    	000232	20020826
U4DST 下市	2023    	000233	20010309
U4DST 下市	2023    	000234	20020826
U4DST 下市	2023    	000235	19950206
U4DST 下市	2023    	000236	20071022
U4DST 下市	2023    	000237	20030411
U4DST 下市	2023    	000238	20030908
U4DST 下市	2023    	000239	20080502
U4DST 下市	2023    	000240	20031117
U4DST 下市	2023    	000241	20040719
U4DST 下市	2023    	000242	20051228
U4DST 下市	2023    	000243	20080602
U4DST 下市	2023    	000244	20030728
U4DST 下市	2023    	000245	20030716
U4DST 下市	2023    	000246	20041206
U4DST 下市	2023    	000247	20040730
U4DST 下市	2023    	000248	20070620
U4DST 下市	2023    	000249	20041224
U4DST 下市	2023    	000250	20041124
U4DST 下市	2023    	000251	20050131
U4DST 下市	2023    	000252	20090227
U4DST 下市	2023    	000253	20050705
U4DST 下市	2023    	000254	20050729
U4DST 下市	2023    	000255	20061026
U4DST 下市	2023    	000256	20051025
U4DST 下市	2023    	000257	20060306
U4DST 下市	2023    	000258	20071210
U4DST 下市	2023    	000259	20081001
U4DST 下市	2023    	000260	20120509
U4DST 下市	2023    	000261	20060719
U4DST 下市	2023    	000262	20060308
U4DST 下市	2023    	000263	20060317
U4DST 下市	2023    	000264	20071102
U4DST 下市	2023    	000265	20080125
U4DST 下市	2023    	000266	20080408
U4DST 下市	2023    	000267	20080430
U4DST 下市	2023    	000268	20081021
U4DST 下市	2023    	000269	20081023
U4DST 下市	2023    	000270	20081205
U4DST 下市	2023    	000271	20080617
U4DST 下市	2023    	000272	20090826
U4DST 下市	2023    	000273	20091223
U4DST 下市	2023    	000274	20100629
U4DST 下市	2023    	000275	20100727
U4DST 下市	2023    	000276	20110111
U4DST 下市	2023    	000277	20120509
U4DST 下市	2023    	000278	20090618
U4DST 下市	2023    	000279	20100518
U4DST 下市	2023    	000280	20110929
U4DST 下市	2023    	000281	20120521
U4DST 下市	2023    	000282	20110803
U4DST 下市	2023    	000283	20101224
U4DST 下市	2023    	000284	20110929
U4DST 下市	2023    	000285	20010329
U4DST 下市	2023    	000286	20001228
U4DST 下市	2023    	000287	20020816
U4DST 下市	2023    	000288	20120425
U4DST 下市	2023    	000289	20111005
U4DST 下市	2023    	000290	20121221
U4DST 下市	2023    	000291	20131203
U4DST 下市	2023    	000292	19950522
U4DST 下市	2023    	000293	19980401
U4DST 下市	2023    	000294	20040624
U4DST 下市	2023    	000295	19990318
U4DST 下市	2023    	000296	19991218
U4DST 下市	2023    	000297	19781018
U4DST 下市	2023    	000298	20100915
U4DST 下市	2023    	000299	19990806
U4DST 下市	2023    	000300	19960410
U4DST 下市	2023    	000301	19990120
U4DST 下市	2023    	000302	20071002
U4DST 下市	2023    	000303	20090115
U4DST 下市	2023    	000304	20101230
U4DST 下市	2023    	000305	20151228
U4DST 下市	2023    	000306	19920318
U4DST 下市	2023    	000307	20151216
U4DST 下市	2023    	000308	20030326
U4DST 下市	2023    	000309	20110531
U4DST 下市	2023    	000310	20111018
