證券代碼	年	序號	事件日
U1TSE 上市	2023    	000160	20140514
U1TSE 上市	2023    	000161	20070111
U1TSE 上市	2023    	000162	20091217
U1TSE 上市	2023    	000163	20080124
U1TSE 上市	2023    	000164	20180416
U1TSE 上市	2023    	000165	20120427
U1TSE 上市	2023    	000166	20101213
U1TSE 上市	2023    	000167	20121228
U1TSE 上市	2023    	000168	20201223
U1TSE 上市	2023    	000169	20160920
U1TSE 上市	2023    	000170	19680603
U1TSE 上市	2023    	000171	19710107
U1TSE 上市	2023    	000172	19721103
U1TSE 上市	2023    	000173	19880711
U1TSE 上市	2023    	000174	19881212
U1TSE 上市	2023    	000175	19900116
U1TSE 上市	2023    	000176	19930508
U1TSE 上市	2023    	000177	19951120
U1TSE 上市	2023    	000178	19970918
U1TSE 上市	2023    	000179	19980331
U1TSE 上市	2023    	000180	20000330
U1TSE 上市	2023    	000181	19970519
U1TSE 上市	2023    	000182	20000911
U1TSE 上市	2023    	000183	19980428
U1TSE 上市	2023    	000184	20000911
U1TSE 上市	2023    	000185	19980623
U1TSE 上市	2023    	000186	20000911
U1TSE 上市	2023    	000187	20130321
U1TSE 上市	2023    	000188	19620209
U1TSE 上市	2023    	000189	19731217
U1TSE 上市	2023    	000190	19821220
U1TSE 上市	2023    	000191	19860616
U1TSE 上市	2023    	000192	19860703
U1TSE 上市	2023    	000193	19871021
U1TSE 上市	2023    	000194	19881227
U1TSE 上市	2023    	000195	19891214
U1TSE 上市	2023    	000196	19900131
U1TSE 上市	2023    	000197	19910830
U1TSE 上市	2023    	000198	19940330
U1TSE 上市	2023    	000199	19631202
U1TSE 上市	2023    	000200	19951212
U1TSE 上市	2023    	000201	19960516
U1TSE 上市	2023    	000202	19660101
U1TSE 上市	2023    	000203	19980324
U1TSE 上市	2023    	000204	19981127
U1TSE 上市	2023    	000205	19980429
U1TSE 上市	2023    	000206	20000911
U1TSE 上市	2023    	000207	19980624
U1TSE 上市	2023    	000208	20000911
U1TSE 上市	2023    	000209	19990116
U1TSE 上市	2023    	000210	20000911
U1TSE 上市	2023    	000211	20000118
U1TSE 上市	2023    	000212	20010919
U1TSE 上市	2023    	000213	19930914
U1TSE 上市	2023    	000214	20010919
U1TSE 上市	2023    	000215	19991122
U1TSE 上市	2023    	000216	20010919
U1TSE 上市	2023    	000217	20000613
U1TSE 上市	2023    	000218	20010919
U1TSE 上市	2023    	000219	20001017
U1TSE 上市	2023    	000220	20020826
U1TSE 上市	2023    	000221	20001009
U1TSE 上市	2023    	000222	20020826
U1TSE 上市	2023    	000223	20030109
U1TSE 上市	2023    	000224	20031118
U1TSE 上市	2023    	000225	20090810
U1TSE 上市	2023    	000226	20220119
U1TSE 上市	2023    	000227	20180123
U1TSE 上市	2023    	000228	20101220
U1TSE 上市	2023    	000229	20090227
U1TSE 上市	2023    	000230	20160509
U1TSE 上市	2023    	000231	20131220
U1TSE 上市	2023    	000232	20131112
U1TSE 上市	2023    	000233	20110929
U1TSE 上市	2023    	000234	20100129
U1TSE 上市	2023    	000235	20191216
U1TSE 上市	2023    	000236	19730720
U1TSE 上市	2023    	000237	19891020
U1TSE 上市	2023    	000238	19920929
U1TSE 上市	2023    	000239	19941026
U1TSE 上市	2023    	000240	19960430
U1TSE 上市	2023    	000241	19911014
U1TSE 上市	2023    	000242	20131024
U1TSE 上市	2023    	000243	19631209
U1TSE 上市	2023    	000244	19710910
U1TSE 上市	2023    	000245	19750217
U1TSE 上市	2023    	000246	19760426
U1TSE 上市	2023    	000247	19770222
U1TSE 上市	2023    	000248	19851119
U1TSE 上市	2023    	000249	19741226
U1TSE 上市	2023    	000250	19880713
U1TSE 上市	2023    	000251	19881004
U1TSE 上市	2023    	000252	19881228
U1TSE 上市	2023    	000253	19891020
U1TSE 上市	2023    	000254	19891222
U1TSE 上市	2023    	000255	19911017
U1TSE 上市	2023    	000256	19920121
U1TSE 上市	2023    	000257	19920220
U1TSE 上市	2023    	000258	19920525
U1TSE 上市	2023    	000259	19921102
U1TSE 上市	2023    	000260	19930427
U1TSE 上市	2023    	000261	19950327
U1TSE 上市	2023    	000262	19950728
U1TSE 上市	2023    	000263	19951230
U1TSE 上市	2023    	000264	19960208
U1TSE 上市	2023    	000265	19961024
U1TSE 上市	2023    	000266	19961213
U1TSE 上市	2023    	000267	19970111
U1TSE 上市	2023    	000268	19981224
U1TSE 上市	2023    	000269	19970402
U1TSE 上市	2023    	000270	20000911
U1TSE 上市	2023    	000271	19960503
U1TSE 上市	2023    	000272	20000911
U1TSE 上市	2023    	000273	19970708
U1TSE 上市	2023    	000274	20000911
U1TSE 上市	2023    	000275	19991016
U1TSE 上市	2023    	000276	20010919
U1TSE 上市	2023    	000277	20081230
U1TSE 上市	2023    	000278	20090626
U1TSE 上市	2023    	000279	20050428
U1TSE 上市	2023    	000280	20080625
U1TSE 上市	2023    	000281	20071116
U1TSE 上市	2023    	000282	20160322
U1TSE 上市	2023    	000283	19631101
U1TSE 上市	2023    	000284	19790716
U1TSE 上市	2023    	000285	19820925
U1TSE 上市	2023    	000286	19860715
U1TSE 上市	2023    	000287	19871207
U1TSE 上市	2023    	000288	19901220
U1TSE 上市	2023    	000289	19920303
U1TSE 上市	2023    	000290	19901001
U1TSE 上市	2023    	000291	19921027
U1TSE 上市	2023    	000292	19980604
U1TSE 上市	2023    	000293	20000508
U1TSE 上市	2023    	000294	20060928
U1TSE 上市	2023    	000295	20101229
U1TSE 上市	2023    	000296	20131225
U1TSE 上市	2023    	000297	19760708
U1TSE 上市	2023    	000298	19910312
U1TSE 上市	2023    	000299	19960729
U1TSE 上市	2023    	000300	19970225
U1TSE 上市	2023    	000301	20081222
U1TSE 上市	2023    	000302	20210412
U1TSE 上市	2023    	000303	20041221
U1TSE 上市	2023    	000304	20131125
U1TSE 上市	2023    	000305	20090325
U1TSE 上市	2023    	000306	20101119
U1TSE 上市	2023    	000307	20111114
U1TSE 上市	2023    	000308	20190917
U1TSE 上市	2023    	000309	20150603
U1TSE 上市	2023    	000310	20160127
U1TSE 上市	2023    	000311	20200826
U1TSE 上市	2023    	000312	20170927
U1TSE 上市	2023    	000313	20201012
U1TSE 上市	2023    	000314	20210531
U1TSE 上市	2023    	000315	20231020
U1TSE 上市	2023    	000316	20231120
U1TSE 上市	2023    	000317	19951117
U1TSE 上市	2023    	000318	19850115
U1TSE 上市	2023    	000319	19850716
U1TSE 上市	2023    	000320	19881021
U1TSE 上市	2023    	000321	19881219
U1TSE 上市	2023    	000322	19891107
U1TSE 上市	2023    	000323	19900724
U1TSE 上市	2023    	000324	19900808
U1TSE 上市	2023    	000325	19910205
U1TSE 上市	2023    	000326	19910618
U1TSE 上市	2023    	000327	19911108
U1TSE 上市	2023    	000328	19920217
U1TSE 上市	2023    	000329	19920218
U1TSE 上市	2023    	000330	19920323
U1TSE 上市	2023    	000331	19931022
U1TSE 上市	2023    	000332	19931109
U1TSE 上市	2023    	000333	19940420
U1TSE 上市	2023    	000334	19940905
U1TSE 上市	2023    	000335	19940921
U1TSE 上市	2023    	000336	19941017
U1TSE 上市	2023    	000337	19950315
U1TSE 上市	2023    	000338	19950417
U1TSE 上市	2023    	000339	19950502
U1TSE 上市	2023    	000340	19950919
U1TSE 上市	2023    	000341	19951018
U1TSE 上市	2023    	000342	19951115
U1TSE 上市	2023    	000343	19951213
U1TSE 上市	2023    	000344	19960105
U1TSE 上市	2023    	000345	19960423
U1TSE 上市	2023    	000346	19960425
U1TSE 上市	2023    	000347	19960722
U1TSE 上市	2023    	000348	19960918
U1TSE 上市	2023    	000349	19961008
U1TSE 上市	2023    	000350	19961014
U1TSE 上市	2023    	000351	19961113
U1TSE 上市	2023    	000352	19961114
U1TSE 上市	2023    	000353	19961218
U1TSE 上市	2023    	000354	19961219
U1TSE 上市	2023    	000355	19961221
U1TSE 上市	2023    	000356	19960304
U1TSE 上市	2023    	000357	19970402
U1TSE 上市	2023    	000358	19970801
U1TSE 上市	2023    	000359	19970811
U1TSE 上市	2023    	000360	19971103
U1TSE 上市	2023    	000361	19971213
U1TSE 上市	2023    	000362	19980309
U1TSE 上市	2023    	000363	19980410
U1TSE 上市	2023    	000364	19620209
U1TSE 上市	2023    	000365	19910801
U1TSE 上市	2023    	000366	19950116
U1TSE 上市	2023    	000367	19980829
U1TSE 上市	2023    	000368	19980924
U1TSE 上市	2023    	000369	19981031
U1TSE 上市	2023    	000370	19970911
U1TSE 上市	2023    	000371	19981026
U1TSE 上市	2023    	000372	19981203
U1TSE 上市	2023    	000373	19990108
U1TSE 上市	2023    	000374	19961226
U1TSE 上市	2023    	000375	19981127
U1TSE 上市	2023    	000376	19990105
U1TSE 上市	2023    	000377	19990125
U1TSE 上市	2023    	000378	19990305
U1TSE 上市	2023    	000379	19961115
U1TSE 上市	2023    	000380	19990615
U1TSE 上市	2023    	000381	19990920
U1TSE 上市	2023    	000382	19971114
U1TSE 上市	2023    	000383	19991104
U1TSE 上市	2023    	000384	19991213
U1TSE 上市	2023    	000385	20000115
U1TSE 上市	2023    	000386	19981215
